circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,5,Doris Schwaiger,1985-02-28,24.4271047,68,Austria,Stefanie Schwaiger,1986-08-07,22.9897331,72,Austria,5,Angelica Ljungquist,1974-12-20,34.6201232,75,Sweden,Karin Lundqvist,1981-10-05,27.8275154,74,Sweden,28,"21-18, 21-17",00:49:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,6,Anja Gunther,1983-09-05,25.9110198,74,Germany,Geeske Banck,1981-01-22,28.5284052,71,Germany,12,Alice Rohkamper,1988-09-04,20.9117043,69,Australia,Heike Jensen,1984-10-27,24.7665982,73,Australia,"21, Q10","14-21, 21-17, 15-8",00:51:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,7,Janne Kongshavn,1983-12-30,25.5934292,71,Norway,Kathrine Maaseide,1976-12-18,32.62423,72,Norway,20,Daniela Gioria,1979-07-04,30.0835044,71,Italy,Giulia Momoli,1981-08-30,27.926078,72,Italy,13,"21-12, 21-18",00:34:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,8,Barbara Hansel,1983-09-18,25.8754278,73,Austria,Sara Montagnolli,1978-12-02,30.6694045,67,Austria,4,Madelein Meppelink,1989-11-29,19.6769336,72,Netherlands,Margo Wiltens,1987-05-28,22.1848049,68,Netherlands,"29, Q17","21-14, 21-17",00:37:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,9,Ana Paula Henkel,1972-02-13,37.4702259,72,Brazil,Shelda Bede,1973-01-01,36.5859001,65,Brazil,3,Carolina Costagrande,1980-10-15,28.7994524,75,Italy,Valeria Rosso,1981-10-24,27.7754962,72,Italy,"30, Q20","25-23, 21-15",00:46:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,10,Nadine Zumkehr,1985-02-05,24.4900753,68,Switzerland,Simone Kuhn,1980-09-02,28.91718,72,Switzerland,14,Okka Rau,1977-01-05,32.5749487,71,Germany,Stephanie Pohl,1978-05-07,31.2416153,73,Germany,"19, Q2","24-22, 22-24, 15-7",01:01:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,11,Angela Lavalle,1981-04-24,28.2765229,69,Brazil,Vivian Cunha,1980-06-14,29.1362081,70,Azerbaijan,"11, Q9",Inese Jursone,1981-11-13,27.7207392,71,Latvia,Inguna Minusa,1977-08-17,31.9616701,69,Latvia,22,"21-15, 19-21, 15-11",00:58:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,12,Maria Tsiartsiani,1980-10-21,28.7830253,71,Greece,Vasiliki Arvaniti,1985-03-17,24.3805613,72,Greece,6,Muriel Graessli,1987-04-23,22.2806297,70,Switzerland,Tanya Guerra Arias-Schmocker,1984-04-01,25.338809,70,Switzerland,27,"21-14, 21-17",00:35:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,13,Becchara Palmer,1988-06-18,21.1252567,72,Australia,Louise Bawden,1981-08-07,27.9890486,72,Australia,"26, Q3",Ingrid Torlen,1979-07-21,30.036961,69,Norway,Nila Ann Hakedal,1979-06-13,30.1409993,70,Norway,7,"19-21, 21-17, 15-11",00:48:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,14,Elsa Baquerizo,1987-06-25,22.1081451,71,Spain,Liliana Fernandez,1987-01-04,22.5790554,70,Spain,23,Karolina Marciniak,1988-03-18,21.3771389,71,Poland,Monika Brzostek,1989-07-28,20.0164271,68,Poland,10,"21-17, 26-24",00:44:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
